"","Best-marginal PEB","Equal-weights","PCA-1","iPEB"
"p=5 corr=low spar=0.4 misspec=none",0.4594,0.4189,0.4387,0.4482
"p=5 corr=high spar=0.4 misspec=none",0.5097,0.3707,0.3719,0.6098
"p=5 corr=block spar=0.4 misspec=none",0.4673,0.3612,0.3487,0.5412
"p=5 corr=low spar=0.6 misspec=none",0.4823,0.4221,0.4486,0.5024
"p=5 corr=high spar=0.6 misspec=none",0.4505,0.4116,0.4219,0.6531
"p=5 corr=block spar=0.6 misspec=none",0.3984,0.4228,0.4264,0.5686
"p=5 corr=low spar=0.4 misspec=t5",0.4328,0.3942,0.3712,0.4482
"p=5 corr=high spar=0.4 misspec=t5",0.372,0.3641,0.3639,0.4867
"p=5 corr=block spar=0.4 misspec=t5",0.3734,0.362,0.399,0.5106
"p=5 corr=low spar=0.6 misspec=t5",0.4861,0.4147,0.4424,0.4317
"p=5 corr=high spar=0.6 misspec=t5",0.4104,0.4023,0.3919,0.4921
"p=5 corr=block spar=0.6 misspec=t5",0.4063,0.379,0.4133,0.5471
"p=5 corr=low spar=0.4 misspec=ar1",0.4305,0.3914,0.4303,0.442
"p=5 corr=high spar=0.4 misspec=ar1",0.3864,0.399,0.3893,0.581
"p=5 corr=block spar=0.4 misspec=ar1",0.4407,0.3734,0.3975,0.6022
"p=5 corr=low spar=0.6 misspec=ar1",0.433,0.402,0.4102,0.4476
"p=5 corr=high spar=0.6 misspec=ar1",0.413,0.4089,0.4027,0.5874
"p=5 corr=block spar=0.6 misspec=ar1",0.4071,0.3848,0.3879,0.5775
"p=5 corr=low spar=0.4 misspec=lognormal",0.387,0.403,0.3984,0.473
"p=5 corr=high spar=0.4 misspec=lognormal",0.3862,0.3768,0.3789,0.5163
"p=5 corr=block spar=0.4 misspec=lognormal",0.4175,0.3401,0.3548,0.4711
"p=5 corr=low spar=0.6 misspec=lognormal",0.4429,0.4461,0.4451,0.4087
"p=5 corr=high spar=0.6 misspec=lognormal",0.4131,0.4495,0.4448,0.5365
"p=5 corr=block spar=0.6 misspec=lognormal",0.4281,0.4043,0.3788,0.5043
"p=10 corr=low spar=0.4 misspec=none",0.4131,0.4395,0.3976,0.4372
"p=10 corr=high spar=0.4 misspec=none",0.4438,0.3783,0.3823,0.5086
"p=10 corr=block spar=0.4 misspec=none",0.4036,0.3972,0.4093,0.5132
"p=10 corr=low spar=0.6 misspec=none",0.4666,0.4494,0.3995,0.4498
"p=10 corr=high spar=0.6 misspec=none",0.4356,0.4323,0.4287,0.612
"p=10 corr=block spar=0.6 misspec=none",0.401,0.4235,0.4384,0.5587
"p=10 corr=low spar=0.4 misspec=t5",0.4171,0.4275,0.5022,0.4504
"p=10 corr=high spar=0.4 misspec=t5",0.4359,0.4066,0.4053,0.5225
"p=10 corr=block spar=0.4 misspec=t5",0.4365,0.4427,0.4289,0.5711
"p=10 corr=low spar=0.6 misspec=t5",0.4244,0.4856,0.4995,0.4297
"p=10 corr=high spar=0.6 misspec=t5",0.4398,0.4284,0.4108,0.6279
"p=10 corr=block spar=0.6 misspec=t5",0.4509,0.4537,0.4504,0.5709
"p=10 corr=low spar=0.4 misspec=ar1",0.42,0.4441,0.4454,0.4586
"p=10 corr=high spar=0.4 misspec=ar1",0.4337,0.3914,0.3821,0.6427
"p=10 corr=block spar=0.4 misspec=ar1",0.3615,0.3356,0.3371,0.5105
"p=10 corr=low spar=0.6 misspec=ar1",0.3972,0.4612,0.4353,0.4602
"p=10 corr=high spar=0.6 misspec=ar1",0.4107,0.4614,0.4436,0.544
"p=10 corr=block spar=0.6 misspec=ar1",0.3741,0.4271,0.4282,0.5635
"p=10 corr=low spar=0.4 misspec=lognormal",0.4003,0.3771,0.3989,0.4665
"p=10 corr=high spar=0.4 misspec=lognormal",0.4147,0.379,0.3961,0.4667
"p=10 corr=block spar=0.4 misspec=lognormal",0.4233,0.4221,0.4278,0.5505
"p=10 corr=low spar=0.6 misspec=lognormal",0.4485,0.4858,0.4162,0.4106
"p=10 corr=high spar=0.6 misspec=lognormal",0.44,0.4251,0.4272,0.5104
"p=10 corr=block spar=0.6 misspec=lognormal",0.4037,0.3729,0.3704,0.5548
