"","Best-marginal PEB","Equal-weights","PCA-1","iPEB"
"p=5 corr=low spar=0.4 misspec=none",1.7031,1.4729,1.4881,1.4781
"p=5 corr=high spar=0.4 misspec=none",1.6663,1.4321,1.425,1.4663
"p=5 corr=block spar=0.4 misspec=none",1.698,1.4575,1.4756,1.4883
"p=5 corr=low spar=0.6 misspec=none",1.6657,1.4088,1.3355,1.3833
"p=5 corr=high spar=0.6 misspec=none",1.6913,1.367,1.3912,1.4547
"p=5 corr=block spar=0.6 misspec=none",1.6863,1.3619,1.414,1.4761
"p=5 corr=low spar=0.4 misspec=t5",1.6987,1.5693,1.546,1.4626
"p=5 corr=high spar=0.4 misspec=t5",1.7146,1.5092,1.502,1.3959
"p=5 corr=block spar=0.4 misspec=t5",1.7354,1.4984,1.4946,1.4598
"p=5 corr=low spar=0.6 misspec=t5",1.6468,1.4722,1.4416,1.4176
"p=5 corr=high spar=0.6 misspec=t5",1.6819,1.4454,1.4413,1.4427
"p=5 corr=block spar=0.6 misspec=t5",1.6908,1.415,1.4229,1.4625
"p=5 corr=low spar=0.4 misspec=ar1",1.5864,1.3277,1.3565,1.228
"p=5 corr=high spar=0.4 misspec=ar1",1.5985,1.302,1.3232,1.24
"p=5 corr=block spar=0.4 misspec=ar1",1.5348,1.2952,1.3076,1.2797
"p=5 corr=low spar=0.6 misspec=ar1",1.4381,1.2393,1.2188,1.1435
"p=5 corr=high spar=0.6 misspec=ar1",1.5459,1.256,1.2583,1.1721
"p=5 corr=block spar=0.6 misspec=ar1",1.5404,1.279,1.2589,1.1419
"p=5 corr=low spar=0.4 misspec=lognormal",1.434,1.4731,1.4687,1.3588
"p=5 corr=high spar=0.4 misspec=lognormal",1.5028,1.3246,1.3339,1.4281
"p=5 corr=block spar=0.4 misspec=lognormal",1.5032,1.312,1.3158,1.3907
"p=5 corr=low spar=0.6 misspec=lognormal",1.4068,1.3608,1.3438,1.2492
"p=5 corr=high spar=0.6 misspec=lognormal",1.4751,1.2906,1.2683,1.366
"p=5 corr=block spar=0.6 misspec=lognormal",1.5084,1.2861,1.2335,1.3357
"p=10 corr=low spar=0.4 misspec=none",1.7399,1.4135,1.361,1.3421
"p=10 corr=high spar=0.4 misspec=none",1.7464,1.3719,1.3589,1.165
"p=10 corr=block spar=0.4 misspec=none",1.7524,1.4288,1.4263,1.1595
"p=10 corr=low spar=0.6 misspec=none",1.6234,1.3202,1.3228,1.3104
"p=10 corr=high spar=0.6 misspec=none",1.6723,1.2936,1.313,1.2194
"p=10 corr=block spar=0.6 misspec=none",1.6416,1.2451,1.2426,1.2793
"p=10 corr=low spar=0.4 misspec=t5",1.7516,1.478,1.494,1.4044
"p=10 corr=high spar=0.4 misspec=t5",1.7514,1.4626,1.4333,1.202
"p=10 corr=block spar=0.4 misspec=t5",1.6653,1.4239,1.4124,1.3082
"p=10 corr=low spar=0.6 misspec=t5",1.6464,1.3287,1.3716,1.3101
"p=10 corr=high spar=0.6 misspec=t5",1.6631,1.3959,1.3767,1.2019
"p=10 corr=block spar=0.6 misspec=t5",1.644,1.3451,1.3371,1.2522
"p=10 corr=low spar=0.4 misspec=ar1",1.4644,1.1777,1.2227,1.1334
"p=10 corr=high spar=0.4 misspec=ar1",1.5411,1.2193,1.2265,1.0931
"p=10 corr=block spar=0.4 misspec=ar1",1.5453,1.3259,1.3194,1.0174
"p=10 corr=low spar=0.6 misspec=ar1",1.5086,1.0344,1.0674,1.0459
"p=10 corr=high spar=0.6 misspec=ar1",1.454,1.1445,1.1737,0.9668
"p=10 corr=block spar=0.6 misspec=ar1",1.4932,1.1408,1.14,1.0329
"p=10 corr=low spar=0.4 misspec=lognormal",1.4653,1.346,1.3727,1.3082
"p=10 corr=high spar=0.4 misspec=lognormal",1.4622,1.2713,1.294,1.2976
"p=10 corr=block spar=0.4 misspec=lognormal",1.4127,1.3123,1.3216,1.3816
"p=10 corr=low spar=0.6 misspec=lognormal",1.4069,1.2106,1.2076,1.2748
"p=10 corr=high spar=0.6 misspec=lognormal",1.44,1.1734,1.1828,1.2882
"p=10 corr=block spar=0.6 misspec=lognormal",1.473,1.1792,1.1841,1.2354
