"","Best-marginal PEB","Equal-weights","PCA-1","iPEB"
"p=5 corr=low spar=0.4 misspec=none",0.0673,0.0631,0.0632,0.0672
"p=5 corr=high spar=0.4 misspec=none",0.0648,0.0642,0.0632,0.0799
"p=5 corr=block spar=0.4 misspec=none",0.0648,0.0678,0.0618,0.0836
"p=5 corr=low spar=0.6 misspec=none",0.073,0.0645,0.0597,0.0702
"p=5 corr=high spar=0.6 misspec=none",0.0713,0.0649,0.0635,0.0774
"p=5 corr=block spar=0.6 misspec=none",0.0696,0.069,0.0671,0.0707
"p=5 corr=low spar=0.4 misspec=t5",0.0619,0.0715,0.0704,0.0722
"p=5 corr=high spar=0.4 misspec=t5",0.0669,0.0664,0.0677,0.0805
"p=5 corr=block spar=0.4 misspec=t5",0.0665,0.063,0.0677,0.0741
"p=5 corr=low spar=0.6 misspec=t5",0.0615,0.0792,0.0743,0.0662
"p=5 corr=high spar=0.6 misspec=t5",0.0696,0.0708,0.0715,0.0743
"p=5 corr=block spar=0.6 misspec=t5",0.0705,0.0702,0.0755,0.0688
"p=5 corr=low spar=0.4 misspec=ar1",0.0738,0.0635,0.0633,0.067
"p=5 corr=high spar=0.4 misspec=ar1",0.0726,0.0571,0.0582,0.0785
"p=5 corr=block spar=0.4 misspec=ar1",0.0643,0.0669,0.0615,0.0817
"p=5 corr=low spar=0.6 misspec=ar1",0.0749,0.071,0.0679,0.0758
"p=5 corr=high spar=0.6 misspec=ar1",0.0788,0.0675,0.0668,0.0873
"p=5 corr=block spar=0.6 misspec=ar1",0.0724,0.0687,0.0641,0.0766
"p=5 corr=low spar=0.4 misspec=lognormal",0.0706,0.0703,0.069,0.0738
"p=5 corr=high spar=0.4 misspec=lognormal",0.0678,0.0711,0.0683,0.0733
"p=5 corr=block spar=0.4 misspec=lognormal",0.0727,0.0664,0.0696,0.0794
"p=5 corr=low spar=0.6 misspec=lognormal",0.0768,0.0714,0.0703,0.0727
"p=5 corr=high spar=0.6 misspec=lognormal",0.0737,0.0762,0.0706,0.0788
"p=5 corr=block spar=0.6 misspec=lognormal",0.0785,0.0705,0.0737,0.0723
"p=10 corr=low spar=0.4 misspec=none",0.0667,0.0653,0.0593,0.0716
"p=10 corr=high spar=0.4 misspec=none",0.0718,0.0674,0.0705,0.0893
"p=10 corr=block spar=0.4 misspec=none",0.0761,0.0657,0.0659,0.0838
"p=10 corr=low spar=0.6 misspec=none",0.0711,0.0688,0.0681,0.0675
"p=10 corr=high spar=0.6 misspec=none",0.0701,0.0691,0.0725,0.0758
"p=10 corr=block spar=0.6 misspec=none",0.0721,0.0634,0.0631,0.0754
"p=10 corr=low spar=0.4 misspec=t5",0.0713,0.0665,0.0622,0.0769
"p=10 corr=high spar=0.4 misspec=t5",0.0729,0.0639,0.0698,0.0857
"p=10 corr=block spar=0.4 misspec=t5",0.0697,0.0692,0.069,0.0767
"p=10 corr=low spar=0.6 misspec=t5",0.0732,0.0685,0.0655,0.0678
"p=10 corr=high spar=0.6 misspec=t5",0.0718,0.0664,0.0724,0.0763
"p=10 corr=block spar=0.6 misspec=t5",0.0641,0.0659,0.067,0.0729
"p=10 corr=low spar=0.4 misspec=ar1",0.0683,0.0639,0.0609,0.0727
"p=10 corr=high spar=0.4 misspec=ar1",0.0681,0.0665,0.07,0.0828
"p=10 corr=block spar=0.4 misspec=ar1",0.0711,0.0677,0.0681,0.085
"p=10 corr=low spar=0.6 misspec=ar1",0.0736,0.0652,0.0696,0.0729
"p=10 corr=high spar=0.6 misspec=ar1",0.0679,0.0701,0.0713,0.0869
"p=10 corr=block spar=0.6 misspec=ar1",0.0699,0.0619,0.0632,0.075
"p=10 corr=low spar=0.4 misspec=lognormal",0.08,0.0649,0.068,0.0767
"p=10 corr=high spar=0.4 misspec=lognormal",0.0833,0.0629,0.0682,0.0837
"p=10 corr=block spar=0.4 misspec=lognormal",0.0779,0.0624,0.0623,0.0828
"p=10 corr=low spar=0.6 misspec=lognormal",0.0766,0.0672,0.0734,0.0694
"p=10 corr=high spar=0.6 misspec=lognormal",0.0795,0.0692,0.0711,0.0793
"p=10 corr=block spar=0.6 misspec=lognormal",0.0787,0.0642,0.0639,0.0744
