"","Best-marginal PEB","Equal-weights","PCA-1","iPEB"
"p=5 corr=low spar=0.4 misspec=none",0.2858,0.2952,0.2912,0.3256
"p=5 corr=high spar=0.4 misspec=none",0.299,0.294,0.2914,0.332
"p=5 corr=block spar=0.4 misspec=none",0.3004,0.2944,0.2956,0.324
"p=5 corr=low spar=0.6 misspec=none",0.2914,0.3102,0.3114,0.3192
"p=5 corr=high spar=0.6 misspec=none",0.3074,0.3068,0.3068,0.3216
"p=5 corr=block spar=0.6 misspec=none",0.3032,0.3084,0.3048,0.317
"p=5 corr=low spar=0.4 misspec=t5",0.295,0.2938,0.2872,0.3008
"p=5 corr=high spar=0.4 misspec=t5",0.2854,0.2844,0.284,0.31
"p=5 corr=block spar=0.4 misspec=t5",0.2902,0.2926,0.288,0.3038
"p=5 corr=low spar=0.6 misspec=t5",0.302,0.3122,0.3058,0.3052
"p=5 corr=high spar=0.6 misspec=t5",0.2984,0.291,0.2908,0.314
"p=5 corr=block spar=0.6 misspec=t5",0.2872,0.296,0.29,0.3166
"p=5 corr=low spar=0.4 misspec=ar1",0.302,0.2878,0.289,0.311
"p=5 corr=high spar=0.4 misspec=ar1",0.3074,0.2864,0.2868,0.3316
"p=5 corr=block spar=0.4 misspec=ar1",0.3008,0.2884,0.2914,0.3316
"p=5 corr=low spar=0.6 misspec=ar1",0.309,0.322,0.3164,0.3284
"p=5 corr=high spar=0.6 misspec=ar1",0.3094,0.3072,0.3086,0.3212
"p=5 corr=block spar=0.6 misspec=ar1",0.3096,0.3132,0.3042,0.3252
"p=5 corr=low spar=0.4 misspec=lognormal",0.3492,0.3132,0.3092,0.3362
"p=5 corr=high spar=0.4 misspec=lognormal",0.3414,0.3194,0.3184,0.3302
"p=5 corr=block spar=0.4 misspec=lognormal",0.3346,0.311,0.3146,0.3244
"p=5 corr=low spar=0.6 misspec=lognormal",0.3482,0.3226,0.3224,0.3262
"p=5 corr=high spar=0.6 misspec=lognormal",0.3446,0.3264,0.3252,0.325
"p=5 corr=block spar=0.6 misspec=lognormal",0.3534,0.3268,0.3328,0.3142
"p=10 corr=low spar=0.4 misspec=none",0.296,0.3032,0.289,0.3394
"p=10 corr=high spar=0.4 misspec=none",0.2924,0.2972,0.2976,0.3784
"p=10 corr=block spar=0.4 misspec=none",0.3036,0.2892,0.2872,0.3774
"p=10 corr=low spar=0.6 misspec=none",0.3116,0.3214,0.3096,0.3542
"p=10 corr=high spar=0.6 misspec=none",0.318,0.3042,0.3072,0.3722
"p=10 corr=block spar=0.6 misspec=none",0.3184,0.307,0.3058,0.365
"p=10 corr=low spar=0.4 misspec=t5",0.3026,0.314,0.304,0.3404
"p=10 corr=high spar=0.4 misspec=t5",0.3058,0.2946,0.2914,0.374
"p=10 corr=block spar=0.4 misspec=t5",0.3082,0.2888,0.287,0.3736
"p=10 corr=low spar=0.6 misspec=t5",0.3084,0.341,0.3306,0.3496
"p=10 corr=high spar=0.6 misspec=t5",0.3084,0.3144,0.3126,0.3652
"p=10 corr=block spar=0.6 misspec=t5",0.3118,0.3066,0.307,0.3606
"p=10 corr=low spar=0.4 misspec=ar1",0.2952,0.3068,0.299,0.3408
"p=10 corr=high spar=0.4 misspec=ar1",0.299,0.2904,0.2906,0.384
"p=10 corr=block spar=0.4 misspec=ar1",0.31,0.286,0.2862,0.383
"p=10 corr=low spar=0.6 misspec=ar1",0.318,0.335,0.3236,0.3594
"p=10 corr=high spar=0.6 misspec=ar1",0.3188,0.3022,0.3038,0.3804
"p=10 corr=block spar=0.6 misspec=ar1",0.3222,0.3012,0.299,0.3856
"p=10 corr=low spar=0.4 misspec=lognormal",0.3676,0.3166,0.2996,0.349
"p=10 corr=high spar=0.4 misspec=lognormal",0.3424,0.3242,0.3262,0.3614
"p=10 corr=block spar=0.4 misspec=lognormal",0.3434,0.318,0.3166,0.354
"p=10 corr=low spar=0.6 misspec=lognormal",0.3652,0.3398,0.3334,0.3694
"p=10 corr=high spar=0.6 misspec=lognormal",0.371,0.3298,0.334,0.366
"p=10 corr=block spar=0.6 misspec=lognormal",0.3672,0.3364,0.3366,0.3588
